Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
ASSET-4a,"Changes to assets are evaluated and approved before being implemented, at least in an ad hoc manner",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-4a,"Changes to assets are evaluated and approved before being implemented, at least in an ad hoc manner",Semantic,subset of,PR.IP-3,Configuration change control processes are in place,Y,,,6
ASSET-4a,"Changes to assets are evaluated and approved before being implemented, at least in an ad hoc manner",Functional,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4b,"Changes to assets are documented, at least in an ad hoc manner",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,5
ASSET-4b,"Changes to assets are documented, at least in an ad hoc manner",Semantic,subset of,PR.IP-3,Configuration change control processes are in place,Y,,,6
ASSET-4b,"Changes to assets are documented, at least in an ad hoc manner",Semantic,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4c,Documentation requirements for asset changes are established and maintained,Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-4c,Documentation requirements for asset changes are established and maintained,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-4c,Documentation requirements for asset changes are established and maintained,Semantic,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4d,Changes to higher priority assets are tested prior to being deployed,Semantic,intersects with,PR.IP-2,A System Development Life Cycle to manage systems is implemented,N,,,9
ASSET-4d,Changes to higher priority assets are tested prior to being deployed,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,5
ASSET-4d,Changes to higher priority assets are tested prior to being deployed,Functional,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4e,Changes and updates are implemented in a secure manner,Functional,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-4e,Changes and updates are implemented in a secure manner,Functional,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-4f,The capability to reverse changes is established and maintained for assets that are important to the delivery of the function,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,2
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Semantic,superset of,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",Y,ASSET-4g:G1,,5
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Semantic,intersects with,PR.IP-2,A System Development Life Cycle to manage systems is implemented,Y,ASSET-4g:G1,,5
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,Y,ASSET-4g:G1,,5
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Semantic,intersects with,PR.IP-6,Data is destroyed according to policy,N,,,5
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Semantic,intersects with,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",N,,,5
ASSET-4g,"Change management practices address the full lifecycle of assets (for example, acquisition, deployment, operation, retirement)",Functional,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4h,Changes to higher priority assets are tested for cybersecurity impact prior to being deployed,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,2
ASSET-4h,Changes to higher priority assets are tested for cybersecurity impact prior to being deployed,Functional,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-4i,Change logs include information about modifications that impact the cybersecurity requirements of assets,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,2
ASSET-4i,Change logs include information about modifications that impact the cybersecurity requirements of assets,Semantic,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,4
ASSET-5a,"Documented procedures are established, followed, and maintained for activities in the ASSET domain",,not related to,,,N,,,0
ASSET-5b,"Adequate resources (people, funding, and tools) are provided to support activities in the ASSET domain",,not related to,,,N,,,0
ASSET-5c,Up-to-date policies or other organizational directives define requirements for activities in the ASSET domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
ASSET-5c,Up-to-date policies or other organizational directives define requirements for activities in the ASSET domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,ASSET-5d:G1,,5
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y ,ASSET-5d:G1,,4
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,ASSET-5d:G1,,7
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,ASSET-5d:G1,,4
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,ASSET-5d:G1,,7
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,ASSET-5d:G1,,7
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,ASSET-5d:G1,,7
ASSET-5d,"Responsibility, accountability, and authority for the performance of activities in the ASSET domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,ASSET-5d:G1,,7
ASSET-5e,Personnel performing activities in the ASSET domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
ASSET-5f,The effectiveness of activities in the ASSET domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
THREAT-1a,"Information sources to support cybersecurity vulnerability discovery are identified, at least in an ad hoc manner",Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,Y,THREAT-1a:G1,,6
THREAT-1a,"Information sources to support cybersecurity vulnerability discovery are identified, at least in an ad hoc manner",Semantic,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,Y,THREAT-1a:G1,,4
THREAT-1a,"Information sources to support cybersecurity vulnerability discovery are identified, at least in an ad hoc manner",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,3
THREAT-1b,"Cybersecurity vulnerability information is gathered and interpreted for the function, at least in an ad hoc manner",Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,Y,THREAT-1b:G1,,6
THREAT-1b,"Cybersecurity vulnerability information is gathered and interpreted for the function, at least in an ad hoc manner",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",Y,THREAT-1b:G1,,7
THREAT-1c,"Cybersecurity vulnerability assessments are performed, at least in an ad hoc manner",Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,Y,THREAT-1c:G1,,8
THREAT-1c,"Cybersecurity vulnerability assessments are performed, at least in an ad hoc manner",Semantic,intersects with,DE.DP-3,Detection processes are tested,N,,,7
THREAT-1c,"Cybersecurity vulnerability assessments are performed, at least in an ad hoc manner",Semantic,superset of,DE.CM-8,Vulnerability scans are performed,Y,THREAT-1c:G1,,7
THREAT-1d,"Cybersecurity vulnerabilities that are relevant to the delivery of the function are mitigated, at least in an ad hoc manner",Semantic,subset of,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,Y,,,7
THREAT-1e,Cybersecurity vulnerability information sources that collectively address higher priority assets are monitored,Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,N,,,6
THREAT-1e,Cybersecurity vulnerability information sources that collectively address higher priority assets are monitored,Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,4
THREAT-1f,"Cybersecurity vulnerability assessments are performed periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,N,,,6
THREAT-1f,"Cybersecurity vulnerability assessments are performed periodically and according to defined triggers, such as system changes and external events",Semantic,superset of,DE.CM-8,Vulnerability scans are performed,N,,,7
THREAT-1g,"Identified cybersecurity vulnerabilities are analyzed and prioritized, and are addressed accordingly",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",Y,THREAT-1g:G1,,6
THREAT-1g,"Identified cybersecurity vulnerabilities are analyzed and prioritized, and are addressed accordingly",Semantic,intersects with,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,Y,THREAT-1g:G1,,6
THREAT-1h,Operational impact to the function is evaluated prior to deploying patches or other mitigations,,not related to,,,N,,,0
THREAT-1i,Information on discovered cybersecurity vulnerabilities is shared with organization-defined stakeholders,Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,3
THREAT-1i,Information on discovered cybersecurity vulnerabilities is shared with organization-defined stakeholders,Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,3
THREAT-1j,Cybersecurity vulnerability information sources that collectively address all IT and OT assets within the function are monitored,Semantic,intersects with,ID.RA-1,Asset vulnerabilities are identified and documented,N,,,4
THREAT-1j,Cybersecurity vulnerability information sources that collectively address all IT and OT assets within the function are monitored,Semantic,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,4
THREAT-1j,Cybersecurity vulnerability information sources that collectively address all IT and OT assets within the function are monitored,Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,4
THREAT-1k,Cybersecurity vulnerability assessments are performed by parties that are independent of the operations of the function,,not related to,,,N,,,0
THREAT-1l,Vulnerability monitoring activities include review to confirm that actions taken in response to cybersecurity vulnerabilities were effective,Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,7
THREAT-1m,"Mechanisms are established and maintained to receive and respond to reports from the public or external parties of potential vulnerabilities related to the organization's IT and OT assets, such as public-facing websites or mobile applications",Semantic,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,4
THREAT-1m,"Mechanisms are established and maintained to receive and respond to reports from the public or external parties of potential vulnerabilities related to the organization's IT and OT assets, such as public-facing websites or mobile applications",Functional,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,3
THREAT-1m,"Mechanisms are established and maintained to receive and respond to reports from the public or external parties of potential vulnerabilities related to the organization's IT and OT assets, such as public-facing websites or mobile applications",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,6
THREAT-2a,"Internal and external information sources to support threat management activities are identified, at least in an ad hoc manner",Semantic,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,8
THREAT-2a,"Internal and external information sources to support threat management activities are identified, at least in an ad hoc manner",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,5
THREAT-2b,"Information about cybersecurity threats is gathered and interpreted for the function, at least in an ad hoc manner",Semantic,superset of,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,7
THREAT-2b,"Information about cybersecurity threats is gathered and interpreted for the function, at least in an ad hoc manner",Semantic,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,6
THREAT-2b,"Information about cybersecurity threats is gathered and interpreted for the function, at least in an ad hoc manner",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,7
THREAT-2c,"Threat objectives for the function are identified, at least in an ad hoc manner",Semantic,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,5
THREAT-2d,"Threats that are relevant to the delivery of the function are addressed, at least in an ad hoc manner",Semantic,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,6
THREAT-2d,"Threats that are relevant to the delivery of the function are addressed, at least in an ad hoc manner",Functional,intersects with,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",N,,,5
THREAT-2e,"A threat profile for the function is established that includes threat objectives and additional threat characteristics (for example, threat actor types, motives, capabilities, and targets)",Semantic,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,5
THREAT-2f,Threat information sources that collectively address all components of the threat profile are prioritized and monitored,,not related to,,,N,,,0
THREAT-2g,Identified threats are analyzed and prioritized and are addressed accordingly,Semantic,intersects with,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",N,,,4
THREAT-2h,"Threat information is exchanged with stakeholders (for example, executives, operations staff, government, connected organizations, vendors, sector organizations, regulators, Information Sharing and Analysis Centers [ISACs])",Semantic,superset of,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,7
THREAT-2h,"Threat information is exchanged with stakeholders (for example, executives, operations staff, government, connected organizations, vendors, sector organizations, regulators, Information Sharing and Analysis Centers [ISACs])",Semantic,intersects with,DE.DP-4,Event detection information is communicated,N,,,5
THREAT-2h,"Threat information is exchanged with stakeholders (for example, executives, operations staff, government, connected organizations, vendors, sector organizations, regulators, Information Sharing and Analysis Centers [ISACs])",Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,7
THREAT-2i,"The threat profile for the function is updated periodically and according to defined triggers, such as system changes and external events",,not related to,,,N,,,0
THREAT-2j,Threat monitoring and response activities leverage and trigger predefined states of operation (SITUATION-3g),,not related to,,,N,,,0
THREAT-2k,"Secure, near-real-time methods are used for receiving and sharing threat information to enable rapid analysis and action",Functional,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,5
THREAT-3a,"Documented procedures are established, followed, and maintained for activities in the THREAT domain",Semantic,intersects with,PR.IP-12,A vulnerability management plan is developed and implemented,N,,,5
THREAT-3a,"Documented procedures are established, followed, and maintained for activities in the THREAT domain",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,7
THREAT-3b,"Adequate resources (people, funding, and tools) are provided to support activities in the THREAT domain",,not related to,,,N,,,0
THREAT-3c,Up-to-date policies or other organizational directives define requirements for activities in the THREAT domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
THREAT-3c,Up-to-date policies or other organizational directives define requirements for activities in the THREAT domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
THREAT-3c,Up-to-date policies or other organizational directives define requirements for activities in the THREAT domain,Semantic,intersects with,PR.IP-12,A vulnerability management plan is developed and implemented,N,,,6
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,THREAT-3d:G1,,5
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y ,THREAT-3d:G1,,4
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,THREAT-3d:G1,,7
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,THREAT-3d:G1,,4
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,THREAT-3d:G1,,7
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,THREAT-3d:G1,,7
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,THREAT-3d:G1,,7
THREAT-3d,"Responsibility, accountability, and authority for the performance of activities in the THREAT domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,THREAT-3d:G1,,7
THREAT-3e,Personnel performing activities in the THREAT domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
THREAT-3f,The effectiveness of activities in the THREAT domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
RISK-1a,"The organization has a strategy for cyber risk management, which may be developed and managed in an ad hoc manner",Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N ,,,7
RISK-1a,"The organization has a strategy for cyber risk management, which may be developed and managed in an ad hoc manner",Semantic,intersects with,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",Y,RISK-1a:G1,,6
RISK-1a,"The organization has a strategy for cyber risk management, which may be developed and managed in an ad hoc manner",Semantic,intersects with,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,Y,RISK-1a:G1,,6
RISK-1a,"The organization has a strategy for cyber risk management, which may be developed and managed in an ad hoc manner",Semantic,intersects with,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,Y,RISK-1a:G1,,6
